id;first_name;last_name;email;phone;addres_line_1
1;Chelsey;Wyman;"ld5@\[.5z*";1-283-373-2680;functionalities
2;Vidal;Dietrich;"f\%@XnJR1.8:";767-919-1749 x289;Gorgeous Uzbekistan Sum
3;Erling;Hackett;"(]Lk@|;m>.=m";860.772.4207 x005;Chicken plum Accounts
4;Maxine;Gibson;"4@1jF\o^.0]tMY";(557) 416-6830 x12277;hacking
5;Justyn;Deckow;"q7@3gL^#.6Don[S";(069) 941-3915 x820;technologies
6;Theron;Haley;"xMm@6|TJ1:.n%\2";524-282-9631 x01271;Manat
7;Edyth;Ward;"kbs@[v6S.oz";466.499.8661 x875;Dynamic Meadows
8;Susana;Ward;"S2GfY$@WEh'E.x";357.847.7787 x15990;deliverables
9;Amari;Torp;"gl@eVMJ.d05p";036.786.4226 x057;Infrastructure Curve Metal
10;Carleton;Schultz;"Z@kOi]5L.<IVj7J";(587) 496-5457;Awesome Future
